codiine,any,municipi,comarca,preu,id,sexe,partitpol,alc_partit,alc_sexe,pob_cat,pob_esp,pob_est,pob_tot,dist_bcn
8001,2021,Abrera,Baix Llobregat,667.44,8001,H,PSC,PSC,H,8611,2625,1302,12538,25.883459
8002,2021,Aguilar de Segarra,Bages,,8002,H,Altres,Altres,H,262,11,9,282,58.570141
8003,2021,Alella,Maresme,1191.54,8003,H,ERC,ERC,H,7362,1184,1358,9904,14.66087
8004,2021,Alpens,Osona,,8004,D,Altres,Altres,D,234,5,22,261,80.08596
8005,2021,"Ametlla del Vallès, l'",Vallès Oriental,864.35999,8005,H,ERC,ERC,H,6796,958,892,8646,30.69367
8006,2021,Arenys de Mar,Maresme,706.07001,8006,D,ERC,ERC,D,11088,2188,2665,15941,37.351261
8007,2021,Arenys de Munt,Maresme,615.84998,8007,H,ERC,ERC,H,7274,944,903,9121,38.623909
8008,2021,Argençola,Anoia,,8008,H,ERC,ERC,H,192,10,17,219,25.744221
8010,2021,Artés,Bages,419.85001,8010,H,ERC,ERC,H,4477,649,636,5762,47.715191
8011,2021,Avià,Berguedà,431.92999,8011,D,Altres,Altres,D,1994,96,130,2220,80.445793
8012,2021,Avinyó,Bages,452.60001,8012,H,ERC,ERC,H,1853,184,252,2289,54.099449
8013,2021,Avinyonet del Penedès,Alt Penedès,630.5,8013,H,JXCAT,JXCAT,H,1293,190,214,1697,33.020168
8014,2021,Aiguafreda,Vallès Oriental,594.25,8014,H,Altres,Altres,H,2022,299,191,2512,41.389759
8015,2021,Badalona,Barcelonès,730.40002,8015,H,PSC,PSC,H,138636,42720,41810,223166,8.1107731
8016,2021,Bagà,Berguedà,387.60001,8016,H,JXCAT,JXCAT,H,1714,311,115,2140,98.154778
8017,2021,Balenyà,Osona,515.34998,8017,H,JXCAT,JXCAT,H,2886,482,472,3840,46.37833
8018,2021,Balsareny,Bages,433.75,8018,D,Altres,Altres,D,2426,514,252,3192,57.089561
8019,2021,Barcelona,Barcelonès,918.84003,8019,D,Altres,Altres,D,939881,262329,461972,1664182,0
8020,2021,Begues,Baix Llobregat,1008.8,8020,D,JXCAT,JXCAT,D,5665,898,737,7300,22.10911
8021,2021,Bellprat,Anoia,,8021,H,Altres,Altres,H,58,3,3,64,62.686138
8022,2021,Berga,Berguedà,398.51001,8022,H,Altres,Altres,H,12130,1622,3008,16760,82.491096
8023,2021,Bigues i Riells,Vallès Oriental,722.26001,8023,H,ERC,ERC,H,7337,1342,679,9358,31.060301
8024,2021,Borredà,Berguedà,326.42999,8024,H,Altres,Altres,H,372,23,69,464,83.099327
8025,2021,"Bruc, el",Anoia,668.66998,8025,D,ERC,ERC,D,1718,229,163,2110,38.19886
8026,2021,"Brull, el",Osona,,8026,H,Altres,Altres,H,232,10,16,258,47.67318
8027,2021,"Cabanyes, les",Alt Penedès,831.82001,8027,H,Altres,Altres,H,845,93,41,979,40.25058
8028,2021,Cabrera d'Anoia,Anoia,670.83002,8028,H,ERC,ERC,H,1067,255,160,1482,39.842701
8029,2021,Cabrera de Mar,Maresme,1090.47,8029,H,Altres,Altres,H,3727,508,512,4747,23.30477
8030,2021,Cabrils,Maresme,1124.13,8030,D,ERC,ERC,D,5722,618,1092,7432,21.64694
8031,2021,Calaf,Anoia,346.88,8031,H,Altres,Altres,H,2412,349,895,3656,66.004433
8032,2021,Caldes d'Estrac,Maresme,904.85999,8032,H,ERC,ERC,H,1999,359,663,3021,35.24612
8033,2021,Caldes de Montbui,Vallès Oriental,681.12,8033,H,ERC,ERC,H,12765,2771,2276,17812,25.67103
8034,2021,Calders,Moianès,604.69,8034,H,JXCAT,JXCAT,H,885,100,60,1045,45.808208
8035,2021,Calella,Maresme,597.76001,8035,D,ERC,ERC,D,11705,2732,4840,19277,47.462761
8036,2021,Calonge de Segarra,Anoia,,8036,H,Altres,Altres,H,178,6,4,188,70.116859
8037,2021,Calldetenes,Osona,605.73999,8037,H,JXCAT,JXCAT,H,2169,182,162,2513,59.166901
8038,2021,Callús,Bages,439.37,8038,H,ERC,ERC,H,1666,226,237,2129,53.256119
8039,2021,Campins,Vallès Oriental,601.53998,8039,D,ERC,ERC,D,441,31,69,541,43.548729
8040,2021,Canet de Mar,Maresme,648.31,8040,D,ERC,ERC,D,10701,2119,2045,14865,40.180321
8041,2021,Canovelles,Vallès Oriental,566.91998,8041,H,PSC,PSC,H,8849,3530,4450,16829,26.0166
8042,2021,Cànoves i Samalús,Vallès Oriental,803.89001,8042,H,Altres,Altres,H,2367,552,237,3156,35.55085
8043,2021,Canyelles,Garraf,851.69,8043,D,Altres,Altres,D,3334,823,542,4699,39.487709
8044,2021,Capellades,Anoia,476.26999,8044,H,ERC,ERC,H,3922,904,516,5342,42.893429
8045,2021,Capolat,Berguedà,,8045,H,Altres,Altres,H,81,1,2,84,82.931633
8046,2021,Cardedeu,Vallès Oriental,724.26001,8046,H,ERC,ERC,H,14039,2428,1957,18424,30.79624
8047,2021,Cardona,Bages,358.92001,8047,H,ERC,ERC,H,3845,445,349,4639,70.061157
8048,2021,Carme,Anoia,,8048,H,Altres,Altres,H,618,67,100,785,48.062531
8049,2021,Casserres,Berguedà,393.76001,8049,H,Altres,Altres,H,1434,77,77,1588,73.393997
8050,2021,Castellar del Riu,Berguedà,,8050,H,JXCAT,JXCAT,H,161,10,5,176,89.821449
8051,2021,Castellar del Vallès,Vallès Occidental,695.46002,8051,H,PSC,PSC,H,19071,3628,1789,24488,24.956869
8052,2021,Castellar de N'Hug,Berguedà,,8052,H,JXCAT,JXCAT,H,142,6,8,156,98.965973
8053,2021,Castellbell i el Vilar,Bages,441.62,8053,D,PSC,PSC,D,2806,584,329,3719,36.06039
8054,2021,Castellbisbal,Vallès Occidental,752.19,8054,H,Altres,Altres,H,9228,2180,1131,12539,17.817089
8055,2021,Castellcir,Moianès,617.5,8055,H,Altres,Altres,H,592,74,76,742,40.060188
