codiine,comarca,municipi,anytrim,any,trim,ntrim,preu,contractes,llei
8001,Baix Llobregat,Abrera,2018_1,2018,1,1,677.40002,35,0
8001,Baix Llobregat,Abrera,2018_2,2018,2,2,659.87,50,0
8001,Baix Llobregat,Abrera,2018_3,2018,3,3,680.87,36,0
8001,Baix Llobregat,Abrera,2018_4,2018,4,4,731.41998,44,0
8001,Baix Llobregat,Abrera,2019_1,2019,1,5,650.79999,36,0
8001,Baix Llobregat,Abrera,2019_2,2019,2,6,688.76001,41,0
8001,Baix Llobregat,Abrera,2019_3,2019,3,7,596.5,26,0
8001,Baix Llobregat,Abrera,2019_4,2019,4,8,665.96002,36,0
8001,Baix Llobregat,Abrera,2020_1,2020,1,9,693.88,39,0
8001,Baix Llobregat,Abrera,2020_2,2020,2,10,689.57001,19,0
8001,Baix Llobregat,Abrera,2020_3,2020,3,11,701.46002,43,0
8001,Baix Llobregat,Abrera,2020_4,2020,4,12,694.60999,36,0
8001,Baix Llobregat,Abrera,2021_1,2021,1,13,657.23999,37,0
8001,Baix Llobregat,Abrera,2021_2,2021,2,14,639.52002,31,0
8001,Baix Llobregat,Abrera,2021_3,2021,3,15,641.26001,30,0
8001,Baix Llobregat,Abrera,2021_4,2021,4,16,700.15002,62,0
8002,Bages,Aguilar de Segarra,2018_1,2018,1,1,,,0
8002,Bages,Aguilar de Segarra,2018_2,2018,2,2,,2,0
8002,Bages,Aguilar de Segarra,2018_3,2018,3,3,,,0
8002,Bages,Aguilar de Segarra,2018_4,2018,4,4,,2,0
8002,Bages,Aguilar de Segarra,2019_1,2019,1,5,,,0
8002,Bages,Aguilar de Segarra,2019_2,2019,2,6,,3,0
8002,Bages,Aguilar de Segarra,2019_3,2019,3,7,,,0
8002,Bages,Aguilar de Segarra,2019_4,2019,4,8,,,0
8002,Bages,Aguilar de Segarra,2020_1,2020,1,9,,2,0
8002,Bages,Aguilar de Segarra,2020_2,2020,2,10,,,0
8002,Bages,Aguilar de Segarra,2020_3,2020,3,11,,,0
8002,Bages,Aguilar de Segarra,2020_4,2020,4,12,,1,0
8002,Bages,Aguilar de Segarra,2021_1,2021,1,13,,,0
8002,Bages,Aguilar de Segarra,2021_2,2021,2,14,,1,0
8002,Bages,Aguilar de Segarra,2021_3,2021,3,15,,1,0
8002,Bages,Aguilar de Segarra,2021_4,2021,4,16,,1,0
8003,Maresme,Alella,2018_1,2018,1,1,1064.75,40,0
8003,Maresme,Alella,2018_2,2018,2,2,1157.8101,43,0
8003,Maresme,Alella,2018_3,2018,3,3,1019.88,41,0
8003,Maresme,Alella,2018_4,2018,4,4,1040.05,43,0
8003,Maresme,Alella,2019_1,2019,1,5,1155,27,0
8003,Maresme,Alella,2019_2,2019,2,6,1298.92,40,0
8003,Maresme,Alella,2019_3,2019,3,7,1323.5601,45,0
8003,Maresme,Alella,2019_4,2019,4,8,1093.21,48,0
8003,Maresme,Alella,2020_1,2020,1,9,1172.64,36,0
8003,Maresme,Alella,2020_2,2020,2,10,985.41998,29,0
8003,Maresme,Alella,2020_3,2020,3,11,1181.47,41,0
8003,Maresme,Alella,2020_4,2020,4,12,1213.91,41,0
8003,Maresme,Alella,2021_1,2021,1,13,1268.91,32,0
8003,Maresme,Alella,2021_2,2021,2,14,1210.25,47,0
8003,Maresme,Alella,2021_3,2021,3,15,1070.49,40,0
8003,Maresme,Alella,2021_4,2021,4,16,1227.8101,41,0
8004,Osona,Alpens,2018_1,2018,1,1,,1,0
8004,Osona,Alpens,2018_2,2018,2,2,,1,0
8004,Osona,Alpens,2018_3,2018,3,3,,1,0
8004,Osona,Alpens,2018_4,2018,4,4,,3,0
8004,Osona,Alpens,2019_1,2019,1,5,,2,0
8004,Osona,Alpens,2019_2,2019,2,6,,,0
8004,Osona,Alpens,2019_3,2019,3,7,,1,0
8004,Osona,Alpens,2019_4,2019,4,8,,2,0
8004,Osona,Alpens,2020_1,2020,1,9,,1,0
8004,Osona,Alpens,2020_2,2020,2,10,,1,0
8004,Osona,Alpens,2020_3,2020,3,11,,4,0
8004,Osona,Alpens,2020_4,2020,4,12,,3,0
8004,Osona,Alpens,2021_1,2021,1,13,,2,0
8004,Osona,Alpens,2021_2,2021,2,14,,,0
8004,Osona,Alpens,2021_3,2021,3,15,,2,0
8004,Osona,Alpens,2021_4,2021,4,16,,,0
8005,Vallès Oriental,"Ametlla del Vallès, l'",2018_1,2018,1,1,955.34998,23,0
8005,Vallès Oriental,"Ametlla del Vallès, l'",2018_2,2018,2,2,966.12,31,0
8005,Vallès Oriental,"Ametlla del Vallès, l'",2018_3,2018,3,3,914.34003,23,0
8005,Vallès Oriental,"Ametlla del Vallès, l'",2018_4,2018,4,4,956.96997,32,0
8005,Vallès Oriental,"Ametlla del Vallès, l'",2019_1,2019,1,5,1026.04,24,0
8005,Vallès Oriental,"Ametlla del Vallès, l'",2019_2,2019,2,6,972.22998,20,0
8005,Vallès Oriental,"Ametlla del Vallès, l'",2019_3,2019,3,7,1078,25,0
8005,Vallès Oriental,"Ametlla del Vallès, l'",2019_4,2019,4,8,1057.3101,26,0
8005,Vallès Oriental,"Ametlla del Vallès, l'",2020_1,2020,1,9,893.41998,19,0
8005,Vallès Oriental,"Ametlla del Vallès, l'",2020_2,2020,2,10,947.81,16,0
8005,Vallès Oriental,"Ametlla del Vallès, l'",2020_3,2020,3,11,1110.36,14,0
8005,Vallès Oriental,"Ametlla del Vallès, l'",2020_4,2020,4,12,993.23999,17,0
8005,Vallès Oriental,"Ametlla del Vallès, l'",2021_1,2021,1,13,1105.71,14,0
8005,Vallès Oriental,"Ametlla del Vallès, l'",2021_2,2021,2,14,1061,15,0
8005,Vallès Oriental,"Ametlla del Vallès, l'",2021_3,2021,3,15,686.96997,36,0
8005,Vallès Oriental,"Ametlla del Vallès, l'",2021_4,2021,4,16,867.25,20,0
8006,Maresme,Arenys de Mar,2018_1,2018,1,1,664.71002,84,0
8006,Maresme,Arenys de Mar,2018_2,2018,2,2,635.35999,98,0
8006,Maresme,Arenys de Mar,2018_3,2018,3,3,609.45001,83,0
8006,Maresme,Arenys de Mar,2018_4,2018,4,4,634.41998,88,0
8006,Maresme,Arenys de Mar,2019_1,2019,1,5,632.92999,122,0
8006,Maresme,Arenys de Mar,2019_2,2019,2,6,632.46002,98,0
8006,Maresme,Arenys de Mar,2019_3,2019,3,7,705.64001,74,0
8006,Maresme,Arenys de Mar,2019_4,2019,4,8,689.95001,80,0
8006,Maresme,Arenys de Mar,2020_1,2020,1,9,676.95001,75,0
8006,Maresme,Arenys de Mar,2020_2,2020,2,10,673.33002,45,0
8006,Maresme,Arenys de Mar,2020_3,2020,3,11,737.81,113,0
